Id,Name,Year,Gender,Count
1,Mary,1880,F,7065
2,Anna,1880,F,2604
3,Emma,1880,F,2003
4,Elizabeth,1880,F,1939
5,Minnie,1880,F,1746
6,Margaret,1880,F,1578
7,Ida,1880,F,1472
8,Alice,1880,F,1414
9,Bertha,1880,F,1320
10,Sarah,1880,F,1288
11,Annie,1880,F,1258
12,Clara,1880,F,1226
13,Ella,1880,F,1156
14,Florence,1880,F,1063
15,Cora,1880,F,1045
16,Martha,1880,F,1040
17,Laura,1880,F,1012
18,Nellie,1880,F,995
19,Grace,1880,F,982
20,Carrie,1880,F,949
21,Maude,1880,F,858
22,Mabel,1880,F,808
23,Bessie,1880,F,796
24,Jennie,1880,F,793
25,Gertrude,1880,F,787
26,Julia,1880,F,783
27,Hattie,1880,F,769
28,Edith,1880,F,768
29,Mattie,1880,F,704
30,Rose,1880,F,700
31,Catherine,1880,F,688
32,Lillian,1880,F,672
33,Ada,1880,F,652
34,Lillie,1880,F,647
35,Helen,1880,F,636
36,Jessie,1880,F,635
37,Louise,1880,F,635
38,Ethel,1880,F,633
39,Lula,1880,F,621
40,Myrtle,1880,F,615
41,Eva,1880,F,614
42,Frances,1880,F,605
43,Lena,1880,F,603
44,Lucy,1880,F,590
45,Edna,1880,F,588
46,Maggie,1880,F,582
47,Pearl,1880,F,569
48,Daisy,1880,F,564
49,Fannie,1880,F,560
50,Josephine,1880,F,544
51,Dora,1880,F,524
52,Rosa,1880,F,507
53,Katherine,1880,F,502
54,Agnes,1880,F,473
55,Marie,1880,F,471
56,Nora,1880,F,471
57,May,1880,F,462
58,Mamie,1880,F,436
59,Blanche,1880,F,427
60,Stella,1880,F,414
61,Ellen,1880,F,411
62,Nancy,1880,F,411
63,Effie,1880,F,406
64,Sallie,1880,F,404
65,Nettie,1880,F,403
66,Della,1880,F,391
67,Lizzie,1880,F,388
68,Flora,1880,F,365
69,Susie,1880,F,361
70,Maud,1880,F,345
71,Mae,1880,F,344
72,Etta,1880,F,323
73,Harriet,1880,F,319
74,Sadie,1880,F,317
75,Caroline,1880,F,306
76,Katie,1880,F,303
77,Lydia,1880,F,302
78,Elsie,1880,F,301
79,Kate,1880,F,299
80,Susan,1880,F,286
81,Mollie,1880,F,283
82,Alma,1880,F,277
83,Addie,1880,F,274
84,Georgia,1880,F,259
85,Eliza,1880,F,252
86,Lulu,1880,F,249
87,Nannie,1880,F,248
88,Lottie,1880,F,245
89,Amanda,1880,F,241
90,Belle,1880,F,238
91,Charlotte,1880,F,237
92,Rebecca,1880,F,236
93,Ruth,1880,F,234
94,Viola,1880,F,229
95,Olive,1880,F,224
96,Amelia,1880,F,221
97,Hannah,1880,F,221
98,Jane,1880,F,215
99,Virginia,1880,F,213
100,Emily,1880,F,210
